iata,state,timezone,iem_network,iem_validated,iem_name,iem_lat,iem_lon
ABE,PA,America/New_York,PA_ASOS,True,ALLENTOWN-BETHLEHEM,40.6508,-75.4492
ABI,TX,America/Chicago,TX_ASOS,True,Abilene,32.4106,-99.6821
ABQ,NM,America/Denver,NM_ASOS,True,ALBUQUERQUE INTL,35.0419,-106.6155
ABR,SD,America/Chicago,SD_ASOS,True,ABERDEEN,45.45,-98.42
ABY,GA,America/New_York,GA_ASOS,True,ALBANY MUNICIPAL,31.5355,-84.1945
ACT,TX,America/Chicago,TX_ASOS,True,Waco,31.618,-97.2283
ACV,CA,America/Los_Angeles,CA_ASOS,True,ARCATA/EUREKA ARPT,40.9781,-124.1086
ACY,NJ,America/New_York,NJ_ASOS,True,ATLANTIC CITY INTL,39.4576,-74.5772
ADK,AK,America/Anchorage,AK_ASOS,False,,,
ADQ,AK,America/Anchorage,AK_ASOS,False,,,
AEX,LA,America/Chicago,LA_ASOS,True,ALEXANDRIA INTL/ENGLAND AFB,31.3347,-92.5586
AGS,GA,America/New_York,GA_ASOS,True,AUGUSTA/BUSH FIELD,33.3699,-81.9645
ALB,NY,America/New_York,NY_ASOS,True,ALBANY COUNTY ARPT,42.7576,-73.8036
AMA,TX,America/Chicago,TX_ASOS,True,Amarillo - Rick Husband Intl,35.2194,-101.7059
ANC,AK,America/Anchorage,AK_ASOS,False,,,
APN,MI,America/New_York,MI_ASOS,True,ALPENA,45.0717,-83.5644
ASE,CO,America/Denver,CO_ASOS,True,ASPEN/SARDY FIELD,39.2232,-106.8689
ATL,GA,America/New_York,GA_ASOS,True,ATLANTA INTL ARPT,33.6301,-84.4418
ATW,WI,America/Chicago,WI_ASOS,True,APPLETON/OUTAGAM,44.2581,-88.5191
AUS,TX,America/Chicago,TX_ASOS,True,Austin Bergstrom Intl,30.183,-97.6799
AVL,NC,America/New_York,NC_ASOS,True,ASHEVILLE_MUNICIPAL_(ASOS),35.4319,-82.5375
AVP,PA,America/New_York,PA_ASOS,True,Wilkes-Barre/Scranton,41.3335,-75.7227
AZA,AZ,America/Phoenix,AZ_ASOS,False,,,
AZO,MI,America/New_York,MI_ASOS,True,KALAMAZOO,42.2347,-85.5519
BDL,CT,America/New_York,CT_ASOS,True,HARTFORD/BRADLEY,41.9381,-72.6825
BET,AK,America/Anchorage,AK_ASOS,False,,,
BFF,NE,America/Chicago,NE_ASOS,True,SCOTTSBLUFF,41.874,-103.5956
BFL,CA,America/Los_Angeles,CA_ASOS,True,BAKERSFIELD/MEADOWS,35.4344,-119.0542
BGR,ME,America/New_York,ME_ASOS,True,BANGOR INTL ARPT,44.8074,-68.8281
BHM,AL,America/Chicago,AL_ASOS,True,BIRMINGHAM MUNI,33.5655,-86.7449
BIH,CA,America/Los_Angeles,CA_ASOS,True,BISHOP AIRPORT,37.3731,-118.3636
BIL,MT,America/Denver,MT_ASOS,True,BILLINGS/LOGAN INTL,45.8069,-108.5422
BIS,ND,America/Chicago,ND_ASOS,True,BISMARCK,46.7727,-100.7458
BJI,MN,America/Chicago,MN_ASOS,True,BEMIDJI,47.5094,-94.9337
BLI,WA,America/Los_Angeles,WA_ASOS,True,BELLINGHAM INTL,48.7927,-122.5375
BLV,IL,America/Chicago,IL_ASOS,True,Belleville - Scott AFB,38.5454,-89.8515
BMI,IL,America/Chicago,IL_ASOS,True,BLOOMINGTON/NORM,40.4771,-88.9159
BNA,TN,America/Chicago,TN_ASOS,True,NASHVILLE METRO,36.1189,-86.6892
BOI,ID,America/Boise,ID_ASOS,True,BOISE MUNICIPAL,43.5667,-116.2406
BOS,MA,America/New_York,MA_ASOS,True,BOSTON/LOGAN INTL,42.3606,-71.0097
BPT,TX,America/Chicago,TX_ASOS,True,Beaumont - Port Arthur,29.9521,-94.0261
BQN,PR,America/Puerto_Rico,PR_ASOS,False,,,
BRD,MN,America/Chicago,MN_ASOS,True,BRAINERD,46.4047,-94.1308
BRO,TX,America/Chicago,TX_ASOS,True,BROWNSVILLE INTL,25.9146,-97.4231
BRW,AK,America/Anchorage,AK_ASOS,False,,,
BTM,MT,America/Denver,MT_ASOS,True,BUTTE/BERT MOONEY,45.9548,-112.4975
BTR,LA,America/Chicago,LA_ASOS,True,BATON ROUGE/RYAN,30.5372,-91.1469
BTV,VT,America/New_York,VT_ASOS,True,BURLINGTON INTL,44.47,-73.15
BUF,NY,America/New_York,NY_ASOS,True,BUFFALO INTL ARPT,42.9408,-78.7358
BUR,CA,America/Los_Angeles,CA_ASOS,True,BURBANK/GLENDALE,34.2007,-118.3587
BWI,MD,America/New_York,MD_ASOS,True,Baltimore - Wash Intl,39.1733,-76.6841
