fa_flight_id,scheduled_in_utc,actual_in_utc,arr_delay_min,departure_delay_min,cancelled,diverted,settled_at_utc,ident_iata,tail_num,op_carrier,origin,dest
DAL1831-1777695896-fa-1160p,,2026-05-04T22:23:00Z,-16.0,-13.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL1467-1777695545-fa-584p,,2026-05-04T22:23:00Z,-2.0,6.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL3143-1777695954-fa-958p,,2026-05-04T22:22:00Z,-2.0,16.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL1816-1777695431-fa-1158p,,2026-05-04T22:22:00Z,-26.0,-13.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL3133-1777695949-fa-1127p,,2026-05-04T22:22:00Z,1.0,9.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL1550-1777695716-fa-3351p,,2026-05-04T22:21:00Z,-6.0,-2.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL1804-1777695542-fa-1461p,,2026-05-04T22:21:00Z,-8.0,-7.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL1882-1777694850-fa-580p,,2026-05-04T22:20:00Z,-26.0,-9.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL3095-1777695479-fa-891p,,2026-05-04T22:19:00Z,-8.0,5.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL945-1777695353-fa-272p,,2026-05-04T22:18:00Z,-41.0,-7.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL2730-1777695942-fa-131p,,2026-05-04T22:17:00Z,-18.0,-2.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL1036-1777694894-fa-875p,,2026-05-04T22:16:00Z,-9.0,-3.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL1613-1777694995-fa-82p,,2026-05-04T22:16:00Z,-4.0,-2.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL1002-1777695503-fa-267p,,2026-05-04T22:16:00Z,-5.0,12.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
UAL1848-1777669572-fa-2460p,,2026-05-04T22:14:00Z,-14.0,-4.0,0,0,2026-05-04T22:20:12.641846+00:00,,,,,
DAL1029-1777695623-fa-911p,,2026-05-04T22:14:00Z,-26.0,-8.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL2892-1777695423-fa-281p,,2026-05-04T22:14:00Z,-27.0,-7.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL2314-1777695134-fa-1000p,,2026-05-04T22:12:00Z,-12.0,0.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL1266-1777694895-fa-1326p,,2026-05-04T22:12:00Z,31.0,41.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL1959-1777695425-fa-869p,,2026-05-04T22:11:00Z,-27.0,-11.0,0,0,2026-05-04T22:20:12.641846+00:00,,,,,
JBU220-1777704754-airline-1241p,,2026-05-04T22:10:00Z,0.0,15.0,0,0,2026-05-04T22:20:12.641846+00:00,,,,,
DAL3142-1777695512-fa-897p,,2026-05-04T22:08:00Z,-17.0,-6.0,0,0,2026-05-04T22:20:12.641846+00:00,,,,,
DAL1437-1777695740-fa-810p,,2026-05-04T22:08:00Z,-16.0,-6.0,0,0,2026-05-04T22:29:16.103214+00:00,,,,,
DAL3163-1777695764-fa-2231p,,2026-05-04T22:07:00Z,-18.0,-2.0,0,0,2026-05-04T22:20:12.641846+00:00,,,,,
DAL1873-1777695888-fa-1052p,,2026-05-04T22:07:00Z,3.0,-3.0,0,0,2026-05-04T22:20:12.641846+00:00,,,,,
DAL3014-1777695574-fa-1385p,,2026-05-04T22:04:00Z,-7.0,5.0,0,0,2026-05-04T22:20:12.641846+00:00,,,,,
DAL995-1777695077-fa-997p,,2026-05-04T22:04:00Z,-13.0,-2.0,0,0,2026-05-04T22:20:12.641846+00:00,,,,,
DAL1772-1777695608-fa-1245p,,2026-05-04T22:04:00Z,-10.0,-5.0,0,0,2026-05-04T22:20:12.641846+00:00,,,,,
