fa_flight_id,scheduled_in_utc,actual_in_utc,arr_delay_min,departure_delay_min,cancelled,diverted,settled_at_utc,ident_iata,tail_num,op_carrier,origin,dest
DAL857-1777867240-fa-1734p,,2026-05-06T10:51:00Z,-12.0,2.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL2330-1777868688-fa-1460p,,2026-05-06T10:48:00Z,-2.0,-4.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL654-1777792131-airline-1568p,,2026-05-06T10:47:00Z,14.0,26.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL320-1777793075-airline-1384p,,2026-05-06T10:43:00Z,-29.0,0.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL391-1777792323-airline-1347p,,2026-05-06T10:42:00Z,14.0,4.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL1727-1777868730-fa-1165p,,2026-05-06T10:41:00Z,-4.0,-1.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL3028-1777868570-fa-895p,,2026-05-06T10:41:00Z,-3.0,-10.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL2712-1777868741-fa-3990p,,2026-05-06T10:41:00Z,-4.0,-6.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL146-1777781730-fa-1058p,,2026-05-06T10:39:00Z,18.0,5.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL888-1777790404-fa-382p,,2026-05-06T10:38:00Z,-2.0,2.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL1308-1777868737-fa-132p,,2026-05-06T10:38:00Z,-1.0,16.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL3186-1777868732-fa-1598p,,2026-05-06T10:37:00Z,-6.0,-7.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
WJA1606-1777874195-airline-1221p,,2026-05-06T10:36:00Z,-19.0,-3.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL2722-1777868673-fa-8p,,2026-05-06T10:31:00Z,-13.0,-1.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
EDV5291-1777829253-fa-1126p,,2026-05-06T10:29:00Z,-16.0,-4.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
WJA1992-1777876400-airline-2053p,,2026-05-06T10:29:00Z,-26.0,-4.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL3038-1777868737-fa-129p,,2026-05-06T10:26:00Z,-19.0,-11.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL3098-1777868561-fa-263p,,2026-05-06T10:25:00Z,-20.0,-12.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL211-1777781715-fa-1652p,,2026-05-06T10:23:00Z,-4.0,23.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL1552-1777868549-fa-4202p,,2026-05-06T10:21:00Z,-22.0,-12.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL3015-1777868730-fa-242p,,2026-05-06T10:18:00Z,-23.0,-12.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL3055-1777868540-fa-198p,,2026-05-06T10:15:00Z,-20.0,-13.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
FFT1450-1777794175-airline-1574p,,2026-05-06T10:09:00Z,71.0,51.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL3018-1777868721-fa-483p,,2026-05-06T10:07:00Z,-34.0,-15.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL365-1777789009-airline-1649p,,2026-05-06T10:07:00Z,-2.0,13.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL929-1777795173-airline-1067p,,2026-05-06T10:06:00Z,-23.0,8.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL309-1777781664-fa-1194p,,2026-05-06T10:04:00Z,-8.0,16.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
DAL302-1777867734-fa-1075p,,2026-05-06T10:03:00Z,14.0,-5.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
FFT1448-1777794175-airline-1573p,,2026-05-06T10:03:00Z,-12.0,19.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
SWA3739-1777876834-schedule-492p,,2026-05-06T10:01:00Z,-4.0,15.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
SWA2535-1777875775-airline-1433p,,2026-05-06T09:56:00Z,-14.0,0.0,0,0,2026-05-06T10:59:49.137161+00:00,,,,,
