fa_flight_id,scheduled_in_utc,actual_in_utc,arr_delay_min,departure_delay_min,cancelled,diverted,settled_at_utc,ident_iata,tail_num,op_carrier,origin,dest
EDV5435-1777962021-airline-1347p,,2026-05-07T18:14:00Z,-15.0,-4.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL409-1777954900-fa-2020p,,2026-05-07T18:13:00Z,-2.0,4.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL904-1777954782-fa-468p,,2026-05-07T18:13:00Z,8.0,-3.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL1898-1777954821-fa-1013p,,2026-05-07T18:12:00Z,12.0,-2.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
EDV5178-1777918453-fa-2093p,2026-05-07T18:26:00,2026-05-07T18:10:00Z,-16.0,-7.0,0,0,2026-05-07T18:19:35.499352+00:00,9E5178,N923XJ,9E,ATL,HSV
DAL2827-1777954952-fa-1380p,2026-05-07T18:12:00,2026-05-07T18:10:00Z,-2.0,0.0,0,0,2026-05-07T18:19:35.499352+00:00,DL2827,N963DZ,DL,ATL,DAB
DAL598-1777954168-fa-596p,,2026-05-07T18:10:00Z,30.0,13.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL1281-1777954356-fa-1148p,,2026-05-07T18:09:00Z,12.0,19.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
DAL414-1777954124-fa-979p,2026-05-07T17:52:00,2026-05-07T18:09:00Z,17.0,-2.0,0,0,2026-05-07T18:19:35.499352+00:00,DL414,N315DN,DL,ATL,DFW
DAL1759-1777954758-fa-1884p,,2026-05-07T18:08:00Z,18.0,30.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL827-1777953998-fa-386p,,2026-05-07T18:08:00Z,10.0,-7.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL1782-1777954892-fa-950p,,2026-05-07T18:06:00Z,56.0,33.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL2490-1777954491-fa-1402p,,2026-05-07T18:05:00Z,-9.0,11.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
DAL109-1777954589-fa-98p,,2026-05-07T18:05:00Z,38.0,12.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
DAL582-1777954320-fa-505p,,2026-05-07T18:05:00Z,-5.0,7.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL809-1777954818-fa-360p,,2026-05-07T18:05:00Z,12.0,-5.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
