fa_flight_id,scheduled_in_utc,actual_in_utc,arr_delay_min,departure_delay_min,cancelled,diverted,settled_at_utc,ident_iata,tail_num,op_carrier,origin,dest
SWA672-1778046214-airline-269p,2026-05-08T13:40:00,2026-05-08T13:22:00Z,-18.0,-5.0,0,0,2026-05-08T13:25:17.980815+00:00,WN672,N914WN,WN,MAF,DEN
SWA1751-1778045830-airline-676p,2026-05-08T13:30:00,2026-05-08T13:21:00Z,-9.0,-6.0,0,0,2026-05-08T13:25:17.980815+00:00,WN1751,N912WN,WN,MCI,DEN
AAL1509-1778042851-airline-112p,2026-05-08T13:44:00,2026-05-08T13:19:00Z,-25.0,3.0,0,0,2026-05-08T13:22:36.988905+00:00,AA1509,N934AN,AA,BOS,ORD
SWA1927-1778045830-airline-867p,2026-05-08T13:35:00,2026-05-08T13:19:00Z,-16.0,-7.0,0,0,2026-05-08T13:24:10.659455+00:00,WN1927,N428WN,WN,DEN,MCI
SWA2733-1778049928-airline-108p,2026-05-08T13:40:00,2026-05-08T13:19:00Z,-21.0,-7.0,0,0,2026-05-08T13:25:17.980815+00:00,WN2733,N259WN,WN,COS,DEN
ENY4162-1778045167-airline-1053p,2026-05-08T13:43:00,2026-05-08T13:18:00Z,-25.0,-4.0,0,0,2026-05-08T13:21:28.380277+00:00,MQ4162,N292NN,MQ,ORD,XNA
ENY4195-1778045199-airline-1589p,2026-05-08T13:45:00,2026-05-08T13:18:00Z,-27.0,-3.0,0,0,2026-05-08T13:22:36.988905+00:00,MQ4195,N742GR,MQ,CID,ORD
UAL320-1778049027-airline-241p,2026-05-08T13:46:00,2026-05-08T13:18:00Z,-28.0,-8.0,0,0,2026-05-08T13:24:10.659455+00:00,UA320,N62849,UA,DEN,IAH
AAL2934-1778046028-airline-266p,2026-05-08T12:02:00,2026-05-08T13:17:00Z,75.0,87.0,0,0,2026-05-08T13:20:18.961253+00:00,AA2934,N754UW,AA,SRQ,CLT
RPA5719-1778043744-airline-512p,2026-05-08T13:30:00,2026-05-08T13:17:00Z,-13.0,-3.0,0,0,2026-05-08T13:21:28.380277+00:00,YX5719,N206JQ,YX,ORD,JFK
AAL1630-1778042851-airline-249p,2026-05-08T14:00:00,2026-05-08T13:16:00Z,-44.0,-10.0,0,0,2026-05-08T13:22:36.988905+00:00,AA1630,N721UW,AA,BGR,ORD
AAL462-1778051710-airline-28p,2026-05-08T13:31:00,2026-05-08T13:16:00Z,-15.0,-5.0,0,0,2026-05-08T13:22:36.988905+00:00,AA462,N922NN,AA,LGA,ORD
AAL2050-1778053491-airline-735p,2026-05-08T13:27:00,2026-05-08T13:15:00Z,-12.0,-6.0,0,0,2026-05-08T13:19:13.080558+00:00,AA2050,N732US,AA,CLT,DTW
SWA3197-1778049928-airline-536p,2026-05-08T13:30:00,2026-05-08T13:15:00Z,-15.0,-3.0,0,0,2026-05-08T13:25:17.980815+00:00,WN3197,N8718Q,WN,SAT,DEN
AAL1652-1778042851-airline-272p,2026-05-08T13:46:00,2026-05-08T13:14:00Z,-32.0,-9.0,0,0,2026-05-08T13:21:28.380277+00:00,AA1652,N338RS,AA,ORD,PHL
SWA1486-1778046316-airline-1624p,2026-05-08T13:25:00,2026-05-08T13:14:00Z,-11.0,-4.0,0,0,2026-05-08T13:25:17.980815+00:00,WN1486,N8977G,WN,AUS,DEN
AAL1975-1778053491-airline-638p,2026-05-08T13:15:00,2026-05-08T13:13:00Z,-2.0,-2.0,0,0,2026-05-08T13:19:13.080558+00:00,AA1975,N899NN,AA,CLT,CLE
AAL1419-1778042851-airline-15p,2026-05-08T13:27:00,2026-05-08T13:13:00Z,-14.0,0.0,0,0,2026-05-08T13:19:13.080558+00:00,AA1419,N125AA,AA,CLT,FLL
AAL1696-1778042851-airline-321p,2026-05-08T13:55:00,2026-05-08T13:13:00Z,-42.0,-6.0,0,0,2026-05-08T13:20:18.961253+00:00,AA1696,N163US,AA,DFW,CLT
UAL586-1777991705-fa-1053p,2026-05-08T13:13:00,2026-05-08T13:13:00Z,0.0,24.0,0,0,2026-05-08T13:21:28.380277+00:00,UA586,N17333,UA,ORD,LGA
ENY3496-1778052015-airline-872p,2026-05-08T13:49:00,2026-05-08T13:13:00Z,-36.0,-10.0,0,0,2026-05-08T13:22:36.988905+00:00,MQ3496,N772MR,MQ,HPN,ORD
SKW6196-1778042934-airline-1343p,2026-05-08T13:42:00,2026-05-08T13:13:00Z,-29.0,-10.0,0,0,2026-05-08T13:22:36.988905+00:00,OO6196,N742SK,OO,HSV,ORD
SKW5771-1778044187-airline-5172p,2026-05-08T12:59:00,2026-05-08T13:13:00Z,14.0,31.0,0,0,2026-05-08T13:22:36.988905+00:00,OO5771,N78361,OO,CID,ORD
ENY3349-1778237442-airline-2087p,2026-05-08T11:17:00,2026-05-08T13:12:00Z,115.0,89.0,0,0,2026-05-08T13:18:04.916211+00:00,MQ3349,N749BM,MQ,TUL,DFW
